ilkid,gp,pts,reb,asts,stl,blk,fgm,fga,ftm,fta,minutes,year_min,year_max,ppg,rpg,apg,spg,bpg,mpg,fg_pct,ft_pct,career_length,firstname,lastname,position,fullname,methods_count
ABDULKA01,1560,38387,17440,5660,1160,3189,15837,28307,6712,9304,57446,1969,1988,24.60705128205128,11.179487179487179,3.628205128205128,0.7435897435897436,2.044230769230769,36.82435897435897,55.947292189211154,72.14101461736887,20,Kareem,Abdul-jabbar,C,Kareem Abdul-jabbar,4
BAYLOEL01,846,23149,11463,3650,0,0,8693,20171,5763,7391,33863,1958,1971,27.3628841607565,13.549645390070921,4.314420803782506,0.0,0.0,40.027186761229316,43.09652471369788,77.97321066161548,14,Elgin,Baylor,F,Elgin Baylor,4
CHAMBWI01,1118,33953,25597,4893,0,0,13744,25580,6465,12742,51160,1959,1972,30.369409660107333,22.8953488372093,4.3765652951699465,0.0,0.0,45.7602862254025,53.729476153244725,50.737717783707424,14,Wilt,Chamberlain,C,Wilt Chamberlain,4
BOLMA01,638,1607,2665,172,128,2102,669,1654,226,403,11814,1985,1994,2.518808777429467,4.177115987460815,0.26959247648902823,0.2006269592476489,3.2946708463949843,18.517241379310345,40.44740024183797,56.07940446650124,10,Manute,Bol,C,Manute Bol,4
BIRDLA01,897,21791,8974,5695,1556,755,8591,17334,3960,4471,34443,1979,1991,24.29319955406912,10.004459308807135,6.348940914158305,1.734671125975474,0.8416945373467113,38.39799331103679,49.5615553247952,88.57078953254306,13,Larry,Bird,F,Larry Bird,4
BELLAWA01,1290,25205,17303,3098,52,48,9523,18487,6159,9768,47479,1961,1974,19.53875968992248,13.413178294573644,2.4015503875968993,0.040310077519379844,0.037209302325581395,36.805426356589145,51.511873208200356,63.05282555282555,14,Walt,Bellamy,C,Walt Bellamy,4
HAYESEL01,1303,27313,16279,2398,864,1771,10976,24272,5356,7999,50000,1968,1983,20.961627014581733,12.493476592478896,1.8403683806600153,0.6630851880276285,1.3591711435149654,38.37298541826554,45.220830586684244,66.95836979622453,16,Elvin,Hayes,F,Elvin Hayes,4
GILMOAR01,1400,25206,16541,3071,663,3208,9502,16339,6199,8918,48027,1971,1987,18.004285714285714,11.815,2.1935714285714285,0.4735714285714286,2.2914285714285714,34.305,58.15533386376155,69.5111011437542,17,Artis,Gilmore,C,Artis Gilmore,4
IVERSAL01,610,16738,2474,3643,1453,121,5875,14065,4195,5454,25338,1996,2004,27.439344262295084,4.055737704918033,5.972131147540984,2.3819672131147542,0.19836065573770492,41.53770491803279,41.77035193743335,76.91602493582693,9,Allen,Iverson,G,Allen Iverson,4
HAVLIJO01,1270,26395,8007,6114,476,117,10513,23930,5369,6589,46471,1962,1977,20.783464566929133,6.304724409448819,4.814173228346457,0.37480314960629924,0.09212598425196851,36.59133858267717,43.93230254910155,81.48429200182122,16,John,Havlicek,F,John Havlicek,4
DREXLCL01,1162,23848,7157,6487,2343,764,8906,18911,5062,6404,40265,1983,1997,20.523235800344235,6.1592082616179,5.582616179001721,2.0163511187607575,0.657487091222031,34.651462994836486,47.094283750198294,79.04434728294815,15,Clyde,Drexler,G,Clyde Drexler,4
COUSYBO01,924,16960,4786,6955,0,0,6168,16468,4624,5756,30165,1950,1969,18.354978354978353,5.17965367965368,7.5270562770562774,0.0,0.0,32.646103896103895,37.45445712897741,80.33356497567755,20,Bob,Cousy,G,Bob Cousy,4
EATONMA01,875,5216,6939,840,368,3064,2072,4526,1072,1653,25169,1982,1992,5.961142857142857,7.930285714285715,0.96,0.4205714285714286,3.501714285714286,28.76457142857143,45.779938135218735,64.85178463399879,11,Mark,Eaton,C,Mark Eaton,4
DUNCATI01,586,13204,7139,1839,459,1488,5041,9938,3101,4483,22456,1997,2004,22.532423208191126,12.18259385665529,3.138225255972696,0.7832764505119454,2.539249146757679,38.32081911262799,50.72449184946669,69.17242917689047,8,Tim,Duncan,F,Tim Duncan,4
MUTOMDI01,1084,11945,12348,1294,473,3302,4255,8260,3435,5019,36420,1991,2004,11.019372693726938,11.391143911439114,1.1937269372693726,0.43634686346863466,3.0461254612546127,33.59778597785978,51.51331719128329,68.43992827256426,14,Dikembe,Mutombo,C,Dikembe Mutombo,4
OLAJUHA01,1238,26946,13747,3058,2162,3830,10749,20991,5423,7621,44223,1984,2001,21.765751211631663,11.104200323101777,2.470113085621971,1.7463651050080775,3.0936995153473346,35.721324717285945,51.20766042589682,71.15864059834668,18,Hakeem,Olajuwon,C,Hakeem Olajuwon,4
MOURNAL01,708,13274,6534,928,392,2037,4738,9078,3776,5395,23408,1992,2004,18.74858757062147,9.228813559322035,1.310734463276836,0.5536723163841808,2.8771186440677967,33.06214689265537,52.19211280017625,69.99073215940686,13,Alonzo,Mourning,C,Alonzo Mourning,4
ONEASH01,882,23583,10541,2509,596,2273,9328,16115,4926,9274,32982,1992,2004,26.738095238095237,11.95124716553288,2.8446712018140587,0.6757369614512472,2.577097505668934,37.394557823129254,57.8839590443686,53.11623894759543,13,Shaquille,O'neal,C,Shaquille O'neal,4
MALONMO01,1537,30663,18906,2025,1266,2069,10666,21560,9323,12304,51950,1974,1994,19.949902407286924,12.300585556278465,1.317501626545218,0.8236824983734548,1.3461288223812622,33.79960962914769,49.47124304267162,75.7721066319896,21,Moses,Malone,C,Moses Malone,4
MALONKA01,1476,36928,14967,5248,2085,1145,13528,26210,9787,13188,54852,1985,2003,25.018970189701896,10.140243902439025,3.5555555555555554,1.4126016260162602,0.7757452574525745,37.16260162601626,51.613887829072866,74.21140430694571,19,Karl,Malone,F,Karl Malone,4
JORDAMI01,1072,32292,6672,5633,2514,893,12192,24537,7327,8772,41012,1984,2002,30.12313432835821,6.223880597014926,5.254664179104478,2.345149253731343,0.8330223880597015,38.257462686567166,49.68822594449199,83.52713178294574,19,Michael,Jordan,G,Michael Jordan,4
JOHNSMA01,906,17707,6559,10141,1724,374,6211,11951,4960,5850,33245,1979,1995,19.544150110375277,7.239514348785872,11.193156732891833,1.9028697571743929,0.41280353200883,36.69426048565121,51.97054639779098,84.78632478632478,17,Magic,Johnson,G,Magic Johnson,4
WESTJE01,932,25192,5376,6238,81,23,9016,19032,7160,8801,36571,1960,1973,27.030042918454935,5.76824034334764,6.6931330472103,0.08690987124463519,0.02467811158798283,39.23927038626609,47.37284573350147,81.35439154641519,14,Jerry,West,G,Jerry West,4
ROBEROS01,1040,26710,7804,9887,77,4,9508,19620,7694,9185,43886,1960,1973,25.682692307692307,7.503846153846154,9.506730769230769,0.07403846153846154,0.0038461538461538464,42.198076923076925,48.46075433231397,83.76701143168209,14,Oscar,Robertson,G,Oscar Robertson,4
RUSSEBI01,963,14522,21620,4100,0,0,5687,12930,3148,5614,40726,1956,1968,15.079958463136034,22.45067497403946,4.257528556593977,0.0,0.0,42.29075804776739,43.982985305491106,56.0741004631279,13,Bill,Russell,C,Bill Russell,4
STOCKJO01,1504,19711,4050,15806,3265,315,7039,13658,4788,5796,47765,1984,2002,13.105718085106384,2.69281914893617,10.509308510638299,2.170877659574468,0.20944148936170212,31.758643617021278,51.53756040415873,82.6086956521739,19,John,Stockton,G,John Stockton,4
PARISRO01,1611,23334,14715,2180,1219,2361,9614,17914,4106,5694,45712,1976,1996,14.48417132216015,9.134078212290502,1.3531967721911855,0.7566728739913098,1.4655493482309125,28.37492240844196,53.66752260801607,72.11099402880224,21,Robert,Parish,C,Robert Parish,4
ROBINDA01,987,20790,10497,2441,1387,2954,7365,14221,6035,8201,34269,1989,2002,21.06382978723404,10.635258358662615,2.4731509625126646,1.4052684903748733,2.99290780141844,34.72036474164134,51.789606919344635,73.58858675771248,14,David,Robinson,C,David Robinson,4
